t,ds1_observed,ds2_observed,ds3_observed
0,1,0.318580428,1.191198495
1,0.994638688,0.366728895,1.204420136
2,1.05427943,0.340573542,1.150808113
3,1.172973513,0.476923062,1.260436725
4,1.128195446,0.555409173,0.968248333
5,1.093091195,0.285003439,1.080514529
6,1.210658745,0.583091277,1.00982727
7,1.240212344,0.337305171,1.239725516
8,1.165198249,0.271981014,1.256894137
9,1.186296974,0.478057442,1.344797794
10,1.122696474,0.503503878,1.232867924
11,1.07148379,0.598662484,1.255772668
12,1.086840473,0.370733286,1.126003295
13,0.926283823,0.504521015,1.121106435
14,0.812360149,0.663206302,1.193370474
15,0.813570852,0.579372195,1.094884226
16,0.777734819,0.370917591,1.122526384
17,0.854385504,0.535487554,0.920358421
18,0.817007891,0.344518358,1.136306933
19,0.74579429,0.655329697,1.31191819
20,0.91805549,0.676649107,1.322399434
21,0.919529481,0.567687948,1.099628535
22,0.943153454,0.720251136,1.149200171
23,0.841670333,0.47952901,1.148108325
24,0.829949769,0.594907716,1.141855061
25,0.872087982,0.611957321,1.36079454
26,0.804004596,0.490279708,1.265985285
27,0.87091583,0.478235751,1.150890606
28,0.845676346,0.285301994,1.135407249
29,0.849645424,0.50658183,1.214839709
30,0.827580088,0.555572578,1.199934832
31,1.005929022,0.498796197,1.226864289
32,0.999154928,0.51356128,0.849224945
33,0.910135812,0.487524193,1.126851674
34,0.98940647,0.237308578,1.201389766
35,0.889543093,0.47855242,1.263591182
36,0.924341073,0.479833204,1.248719754
37,0.779122863,0.396056047,1.131621693
38,0.713998203,0.467520971,1.241192825
39,0.784527757,0.663825919,0.925337755
40,0.884987248,0.437734315,1.045028661
41,0.920762526,0.348886507,1.124972917
42,0.927250155,0.294870256,1.178351264
43,0.918469922,0.352834781,1.090297971
44,0.818139327,0.296588504,1.017544977
45,0.799460394,0.434112266,1.057368333
46,0.806132581,0.462122894,1.010034585
47,0.933741311,0.460192063,1.208045589
48,0.979553507,0.546886188,1.025842529
49,0.848416646,0.544751426,0.985827872
50,0.911149925,0.253587852,0.976266877
51,0.905190497,0.578084463,0.958350135
52,0.877566666,0.346895922,1.043771964
53,0.958941007,0.287029709,0.786200605
54,1.057859487,0.280795408,1.194169525
55,1.12917247,0.40941253,1.217073326
56,1.044618536,0.336974743,1.022554471
57,1.019290332,0.081919411,1.10385375
58,1.050060881,0.491613798,1.013824618
59,1.12589903,0.208454515,0.8147834
60,1.069760962,0.491530006,0.911148197
61,1.047798087,0.481343117,1.088914252
62,0.955946858,0.571419061,0.997644445
63,0.874567095,0.633088149,1.213846221
64,0.969383043,0.262266409,1.227229837
65,1.087897887,0.445389273,1.138900849
66,1.067572975,0.434173346,1.200891122
67,1.136453109,0.533897164,1.194914321
68,1.139290973,0.458960872,1.332977896
69,1.060110747,0.355660689,1.317800289
70,1.076397513,0.268110544,1.368354768
71,1.182702528,0.24662149,1.23008156
72,1.141030522,0.562781083,1.137474629
73,1.234985174,0.56420682,1.286182986
74,0.974725916,0.592670504,1.288861082
75,1.041262143,0.375884022,1.25853304
76,1.035206805,0.24630541,1.178825196
77,0.999081341,0.280083952,1.038779413
78,1.001149424,0.361540183,1.200972865
79,0.836271123,0.212191193,1.160132263
80,0.845721127,0.57608278,1.245911613
81,0.899450614,0.215838816,1.170195599
82,1.0322258,0.422405374,1.070949396
83,0.978978736,0.59326321,1.136093199
84,0.913478596,0.359358466,1.289083956
85,0.886013091,0.359907896,1.275526625
86,0.977878662,0.141756704,1.226531522
87,1.004961716,0.192300887,1.089110314
88,0.958514088,0.44680672,1.065291408
89,1.005394999,0.453393289,1.183532277
90,1.010216478,0.238666274,1.193669059
91,1.084410945,0.178623015,1.224229309
92,1.010707239,0.123318839,0.993993904
93,0.982261741,0.313243091,1.263184238
94,0.954870914,0.432795272,1.316121845
95,0.847708231,0.689972359,1.122735526
96,0.903139945,0.546449823,0.989918492
97,0.944988202,0.525806347,1.296159479
98,0.958206619,0.452191535,1.062656814
99,0.949719261,0.338688834,1.081729152
100,0.848473024,0.660728803,1.084766008
101,0.846948371,0.421793686,1.123469322
102,0.85174305,0.205912053,1.263155223
103,0.818479159,0.292184036,1.245741853
104,0.842700191,0.324954286,1.411936024
105,0.906748323,0.458474888,1.351544462
106,1.07589979,0.545523222,1.290769297
107,1.073540456,0.435265135,1.170209675
108,1.077454979,0.46431386,1.392572407
109,1.053118867,0.599261815,1.136005994
110,0.88513696,0.44613248,1.079288822
111,0.901120562,0.724704368,1.272362056
112,0.91980656,0.377307406,1.195947453
113,1.125943206,0.431334435,1.102817435
114,1.077355198,0.344513765,1.120874475
115,1.076969287,0.382454871,1.12645974
116,1.048769322,0.427984773,1.279634927
117,0.934555528,0.423498811,1.313833241
118,1.027237633,0.270037913,1.360492718
119,1.069329408,0.356274125,1.082262915
120,1.105445564,0.712665247,1.189964129
121,0.997729157,0.365106156,1.314528253
122,1.096074323,0.535200702,1.289290936
123,0.950050334,0.276375335,1.357054113
124,0.992133236,0.411331834,1.642239473
125,1.15403081,0.405087377,1.256522735
126,1.02915256,0.496184571,1.50342643
127,0.96341122,0.114154854,1.317077648
128,0.964452527,0.434549026,1.387402456
129,0.917525042,0.194954288,1.388782838
130,0.796821559,0.376738288,1.144072573
131,0.830524971,0.181686939,1.367576142
132,0.767849758,0.207542391,1.19670284
133,0.841503009,0.314150301,1.178884759
134,0.789981872,0.258358514,1.273266077
135,0.947371376,0.420592593,1.294425054
136,0.887729085,0.273752486,1.382005899
137,0.878037673,0.225589213,1.490559757
138,0.962266021,0.560940761,1.188702629
139,0.867223487,0.328229929,1.313181817
140,0.908953068,0.452905339,1.169063113
141,1.029764107,0.47947506,1.217034984
142,0.894234203,0.228206271,1.076240267
143,0.930094171,0.25222245,1.182698703
144,0.965625685,0.365832376,1.11692011
145,1.036526319,0.442669381,1.331880652
146,0.932351029,0.135781389,1.304806115
147,0.842813526,0.310188417,1.078678311
148,0.918929046,0.219125139,1.100208644
149,0.962044623,0.343619764,0.931101927
150,0.99290136,0.423523032,1.191739361
151,1.025210903,0.29989937,1.176432811
152,0.968755034,0.27866884,1.1293324
153,0.996258322,0.225043637,1.315070818
154,1.022690489,0.348892529,1.393993338
155,0.962693669,0.490374275,1.32907069
156,1.120455851,0.229259762,1.376250399
157,1.134570621,0.347306913,1.172441848
158,1.011836712,0.422573006,1.300308144
159,1.060603451,0.545534941,1.113256066
160,0.968199651,0.183361645,1.276492922
161,1.03427277,0.337583171,1.216769886
162,1.115897493,0.234239729,1.119262504
163,1.021908213,0.381363716,1.177697895
164,1.088519566,0.136918316,1.209913161
165,1.096880633,0.454337805,1.198132005
166,1.135488682,0.536419702,1.100927215
167,1.251602528,0.377250513,1.261106632
168,1.172453151,0.307448136,1.274151193
169,1.067896853,0.2817672,1.222958939
170,0.97292761,0.592439329,1.323776447
171,0.902501676,0.608793474,1.33588634
172,0.905031811,0.50483345,1.139607996
173,0.940415314,0.490521698,1.143093692
174,0.963590842,0.488347956,1.253505705
175,1.026322181,0.538971929,0.977348503
176,1.011647335,0.527542671,1.016227302
177,1.115542708,0.608127668,1.241708216
178,1.061707455,0.682962109,1.226947169
179,1.258031147,0.698835115,1.286684325
180,1.248227155,0.348863271,1.091833158
181,1.122534305,0.442627333,1.319146378
182,1.005723121,0.52226105,1.357140941
183,1.037436164,0.491922697,1.416455131
184,1.007260028,0.36837833,1.249367967
185,1.059063887,0.81202231,1.264404231
186,1.08219689,0.394501367,1.2343101
187,1.057955982,0.445371685,1.219157012
